#      dist        eig   iband        s       pz       px       py    dz2r2      dxz      dyz      dxy    dx2y2      fm0     f+m1     f-m1     f+m2     f-m2     f+m3     f-m3  
    0.00000    8.59044       5    0.000    0.000    0.000   36.400    1.700    0.003    0.000    0.000    0.567    0.000    0.000    0.015    0.000    0.000    0.000    0.025
    0.00000    8.59047       6    0.000    0.912    0.912    0.000    0.000    0.000    2.077    2.077    0.000    0.000    0.074    0.000    0.000    0.112    0.038    0.000
    0.01137    8.50546       5    0.045    0.495    0.495   17.940    0.858    0.002    1.034    1.034    0.288    0.000    0.035    0.008    0.000    0.055    0.019    0.014
    0.01137    8.66373       6    0.061    0.497    0.497   18.288    0.835    0.001    1.040    1.040    0.281    0.000    0.038    0.007    0.000    0.057    0.019    0.012
    0.02273    8.41183       5    0.150    0.588    0.588   17.571    0.862    0.003    1.029    1.029    0.294    0.001    0.034    0.010    0.000    0.053    0.020    0.015
    0.02273    8.72205       6    0.275    0.647    0.647   18.134    0.812    0.000    1.039    1.039    0.282    0.001    0.039    0.008    0.000    0.057    0.019    0.011
    0.03410    8.31390       5    0.298    0.722    0.722   17.123    0.853    0.003    1.024    1.024    0.297    0.001    0.033    0.011    0.000    0.052    0.020    0.017
    0.03410    8.76295       6    0.671    0.914    0.914   17.705    0.778    0.000    1.033    1.033    0.286    0.002    0.039    0.009    0.001    0.057    0.020    0.011
    0.04546    8.20990       5    0.442    0.863    0.863   16.682    0.855    0.004    1.017    1.017    0.304    0.001    0.031    0.012    0.000    0.050    0.020    0.018
    0.04546    8.78465       6    1.253    1.291    1.291   16.985    0.736    0.000    1.024    1.024    0.294    0.004    0.039    0.011    0.002    0.056    0.021    0.012
    0.05683   -9.88964       4    0.111    6.627    6.627   10.977    0.202    0.083    0.004    0.004    0.069    0.003    0.010    0.000    0.000    0.007    0.000    0.000
    0.05683    8.10699       5    0.586    1.007    1.007   16.208    0.852    0.004    1.014    1.014    0.311    0.003    0.031    0.013    0.000    0.048    0.019    0.019
    0.05683    8.83580       6    2.032    1.742    1.742   15.821    0.705    0.000    1.008    1.008    0.318    0.005    0.039    0.012    0.006    0.052    0.019    0.011
    0.06819   -9.77139       4    0.141    6.624    6.624   11.102    0.203    0.088    0.005    0.005    0.070    0.003    0.011    0.001    0.000    0.008    0.000    0.001
    0.06819    7.99995       5    0.718    1.156    1.156   15.774    0.852    0.005    1.006    1.006    0.318    0.003    0.029    0.014    0.000    0.046    0.020    0.021
    0.06819    8.81877       6    2.838    2.208    2.208   14.779    0.658    0.000    0.999    0.999    0.333    0.007    0.037    0.015    0.008    0.049    0.019    0.012
    0.07956   -9.65018       4    0.170    6.624    6.624   11.231    0.203    0.094    0.007    0.007    0.071    0.003    0.011    0.001    0.000    0.008    0.000    0.001
    0.07956    7.89303       5    0.840    1.305    1.305   15.351    0.853    0.006    0.998    0.998    0.324    0.004    0.028    0.015    0.000    0.044    0.020    0.022
    0.07956    8.78715       6    3.645    2.645    2.645   13.747    0.613    0.000    0.990    0.990    0.348    0.009    0.036    0.018    0.010    0.046    0.020    0.014
    0.09092   -9.52640       4    0.196    6.623    6.623   11.365    0.203    0.099    0.009    0.009    0.071    0.004    0.012    0.001    0.000    0.008    0.000    0.001
    0.09092    7.78698       5    0.950    1.454    1.454   14.942    0.854    0.007    0.990    0.990    0.329    0.005    0.026    0.016    0.000    0.043    0.021    0.023
    0.09092    8.74401       6    4.408    3.028    3.028   12.789    0.572    0.000    0.981    0.981    0.363    0.012    0.034    0.020    0.012    0.043    0.021    0.015
    0.10229   -9.40039       4    0.220    6.624    6.624   11.505    0.204    0.105    0.010    0.010    0.072    0.004    0.012    0.001    0.000    0.009    0.000    0.001
    0.10229    7.68239       5    1.049    1.601    1.601   14.544    0.855    0.007    0.982    0.982    0.334    0.005    0.025    0.017    0.000    0.041    0.021    0.024
    0.10229    8.69216       6    5.104    3.351    3.351   11.936    0.536    0.000    0.974    0.974    0.376    0.014    0.033    0.022    0.014    0.041    0.021    0.015
    0.11365   -9.27248       4    0.241    6.624    6.624   11.650    0.203    0.110    0.012    0.012    0.073    0.004    0.013    0.001    0.000    0.009    0.000    0.001
    0.11365    7.57972       5    1.137    1.748    1.748   14.159    0.856    0.008    0.974    0.974    0.339    0.006    0.024    0.018    0.000    0.039    0.022    0.025
    0.11365    8.63388       6    5.730    3.614    3.614   11.193    0.504    0.001    0.969    0.969    0.389    0.015    0.032    0.024    0.015    0.038    0.022    0.016
    0.12502   -9.14295       4    0.258    6.625    6.625   11.801    0.203    0.116    0.014    0.014    0.074    0.004    0.013    0.001    0.000    0.009    0.000    0.001
    0.12502    7.47937       5    1.215    1.894    1.894   13.783    0.858    0.009    0.966    0.966    0.344    0.007    0.022    0.019    0.000    0.038    0.022    0.026
    0.12502    8.57101       6    6.288    3.824    3.824   10.553    0.476    0.001    0.965    0.965    0.400    0.017    0.031    0.025    0.016    0.036    0.022    0.017
    0.13638   -9.01208       4    0.272    6.625    6.625   11.959    0.203    0.122    0.016    0.016    0.075    0.004    0.014    0.001    0.000    0.010    0.000    0.001
    0.13638    7.38164       5    1.284    2.041    2.041   13.417    0.860    0.009    0.959    0.959    0.348    0.007    0.021    0.019    0.000    0.037    0.023    0.027
    0.13638    8.50491       6    6.787    3.989    3.989   10.004    0.452    0.001    0.963    0.963    0.411    0.019    0.030    0.026    0.017    0.034    0.022    0.017
    0.14775   -8.88012       4    0.283    6.624    6.624   12.123    0.202    0.128    0.018    0.018    0.075    0.004    0.014    0.001    0.000    0.010    0.000    0.001
    0.14775    7.28682       5    1.344    2.188    2.188   13.057    0.862    0.010    0.951    0.951    0.351    0.008    0.020    0.020    0.000    0.035    0.023    0.028
    0.14775    8.43665       6    7.233    4.117    4.117    9.532    0.430    0.001    0.961    0.961    0.420    0.020    0.030    0.026    0.018    0.032    0.022    0.017
