#           eng            dos          occup          e_sum
      -10.00000        0.32337        3.90912       -7.20348
       -9.96000        0.35762        3.92260       -7.15373
       -9.92000        0.43281        3.93828       -7.09492
       -9.88000        0.53779        3.95764       -7.02145
       -9.84000        0.64275        3.98131       -6.93084
       -9.80000        0.71145        4.00857       -6.82592
       -9.76000        0.72134        4.03743       -6.71426
       -9.72000        0.67689        4.06554       -6.60489
       -9.68000        0.60558        4.09122       -6.50423
       -9.64000        0.54023        4.11407       -6.41376
       -9.60000        0.50142        4.13480       -6.33067
       -9.56000        0.49116        4.15457       -6.25039
       -9.52000        0.49830        4.17433       -6.16921
       -9.48000        0.50834        4.19447       -6.08561
       -9.44000        0.51039        4.21488       -6.00014
       -9.40000        0.49915        4.23512       -5.91473
       -9.36000        0.47504        4.25464       -5.83169
       -9.32000        0.44612        4.27306       -5.75267
       -9.28000        0.42983        4.29050       -5.67704
       -9.24000        0.44869        4.30792       -5.60047
       -9.20000        0.51817        4.32708       -5.51502
       -9.16000        0.63356        4.34999       -5.41160
       -9.12000        0.76563        4.37799       -5.28421
       -9.08000        0.86979        4.41087       -5.13377
       -9.04000        0.90498        4.44664       -4.96939
       -9.00000        0.85301        4.48209       -4.80592
       -8.96000        0.72756        4.51389       -4.65872
       -8.92000        0.56725        4.53983       -4.53818
       -8.88000        0.41765        4.55942       -4.44660
       -8.84000        0.31446        4.57387       -4.37844
       -8.80000        0.27611        4.58545       -4.32290
       -8.76000        0.30358        4.59684       -4.26723
       -8.72000        0.38213        4.61042       -4.19985
       -8.68000        0.48559        4.62774       -4.11322
       -8.64000        0.58744        4.64924       -4.00508
       -8.60000        0.67509        4.67454       -3.87712
       -8.56000        0.75483        4.70314       -3.73149
       -8.52000        0.83906        4.73499       -3.56807
       -8.48000        0.92479        4.77030       -3.38560
       -8.44000        0.98577        4.80865       -3.18615
       -8.40000        0.99099        4.84840       -2.97836
       -8.36000        0.93455        4.88709       -2.77519
       -8.32000        0.84678        4.92274       -2.58685
       -8.28000        0.77429        4.95504       -2.41486
       -8.24000        0.74820        4.98532       -2.25204
       -8.20000        0.76811        5.01552       -2.08798
       -8.16000        0.80932        5.04705       -1.91525
       -8.12000        0.84102        5.08014       -1.73281
       -8.08000        0.84185        5.11392       -1.54547
       -8.04000        0.80684        5.14700       -1.36101
       -8.00000        0.74579        5.17811       -1.18655
       -7.96000        0.67558        5.20654       -1.02614
       -7.92000        0.61213        5.23225       -0.88004
       -7.88000        0.56576        5.25574       -0.74550
       -7.84000        0.54020        5.27779       -0.61817
       -7.80000        0.53399        5.29922       -0.49341
       -7.76000        0.54408        5.32073       -0.36715
       -7.72000        0.57068        5.34296       -0.23559
       -7.68000        0.61930        5.36668       -0.09414
       -7.64000        0.69622        5.39289        0.06347
       -7.60000        0.79925        5.42273        0.24425
       -7.56000        0.91149        5.45696        0.45292
       -7.52000        1.00547        5.49540        0.68855
       -7.48000        1.05608        5.53681        0.94348
       -7.44000        1.05305        5.57917        1.20547
       -7.40000        1.00510        5.62045        1.46201
       -7.36000        0.93527        5.65928        1.70468
       -7.32000        0.87015        5.69534        1.93142
       -7.28000        0.82620        5.72918        2.14580
       -7.24000        0.79965        5.76167        2.35301
       -7.20000        0.76943        5.79311        2.55472
       -7.16000        0.71450        5.82289        2.74675
       -7.12000        0.63317        5.84990        2.92175
       -7.08000        0.54713        5.87347        3.07522
       -7.04000        0.48623        5.89402        3.20993
       -7.00000        0.46768        5.91295        3.33520
       -6.96000        0.48702        5.93194        3.46199
       -6.92000        0.52548        5.95216        3.59795
       -6.88000        0.56439        5.97398        3.74549
       -6.84000        0.59537        5.99720        3.90336
       -6.80000        0.62221        6.02155        4.06981
       -6.76000        0.65650        6.04708        4.24539
       -6.72000        0.71028        6.07434        4.43412
       -6.68000        0.78778        6.10423        4.64245
       -6.64000        0.87832        6.13754        4.87603
       -6.60000        0.95515        6.17431        5.13509
       -6.56000        0.98476        6.21332        5.41097
       -6.52000        0.94483        6.25215        5.68655
       -6.48000        0.83971        6.28802        5.94187
       -6.44000        0.70098        6.31888        6.16228
       -6.40000        0.57177        6.34423        6.34428
       -6.36000        0.48581        6.36521        6.49585
       -6.32000        0.45520        6.38385        6.63174
       -6.28000        0.47177        6.40225        6.76712
       -6.24000        0.51868        6.42199        6.91332
       -6.20000        0.58281        6.44397        7.07717
       -6.16000        0.65946        6.46878        7.26308
       -6.12000        0.74660        6.49688        7.47477
       -6.08000        0.83478        6.52853        7.71444
       -6.04000        0.90235        6.56339        7.97949
       -6.00000        0.92256        6.60008        8.25950
       -5.96000        0.87946        6.63633        8.53701
       -5.92000        0.78156        6.66970        8.79316
       -5.88000        0.66070        6.69855        9.01552
       -5.84000        0.55526        6.72276        9.20305
       -5.80000        0.49033        6.74352        9.36488
       -5.76000        0.47020        6.76259        9.51471
       -5.72000        0.48547        6.78161        9.66519
       -5.68000        0.52368        6.80174        9.82547
       -5.64000        0.57255        6.82365       10.00090
       -5.60000        0.61712        6.84748       10.19263
       -5.56000        0.64110        6.87274       10.39655
       -5.52000        0.63715        6.89839       10.60444
       -5.48000        0.61615        6.92348       10.80858
       -5.44000        0.60203        6.94778       11.00736
       -5.40000        0.61329        6.97199       11.20662
       -5.36000        0.64746        6.99716       11.41497
       -5.32000        0.68311        7.02381       11.63665
       -5.28000        0.69734        7.05151       11.86800
       -5.24000        0.68276        7.07920       12.10005
       -5.20000        0.65029        7.10589       12.32463
       -5.16000        0.61901        7.13124       12.53895
       -5.12000        0.60421        7.15563       12.74630
       -5.08000        0.61143        7.17988       12.95353
       -5.04000        0.63566        7.20478       13.16757
       -5.00000        0.66377        7.23078       13.39212
       -4.96000        0.68050        7.25773       13.62577
       -4.92000        0.67636        7.28494       13.86263
       -4.88000        0.65224        7.31157       14.09527
       -4.84000        0.61685        7.33697       14.31811
       -4.80000        0.57881        7.36088       14.52881
       -4.76000        0.54071        7.38327       14.72698
       -4.72000        0.50049        7.40411       14.91215
       -4.68000        0.45776        7.42328       15.08322
       -4.64000        0.41763        7.44076       15.23997
       -4.60000        0.38800        7.45683       15.38470
       -4.56000        0.37363        7.47201       15.52218
       -4.52000        0.37298        7.48690       15.65781
       -4.48000        0.37979        7.50195       15.79545
       -4.44000        0.38701        7.51729       15.93647
       -4.40000        0.38987        7.53285       16.08001
       -4.36000        0.38701        7.54840       16.22412
       -4.32000        0.37972        7.56375       16.36685
       -4.28000        0.37061        7.57876       16.50702
       -4.24000        0.36258        7.59341       16.64450
       -4.20000        0.35788        7.60781       16.78015
       -4.16000        0.35605        7.62208       16.91525
       -4.12000        0.35207        7.63627       17.05003
       -4.08000        0.33813        7.65012       17.18209
       -4.04000        0.30981        7.66312       17.30649
       -4.00000        0.27181        7.67477       17.41824
       -3.96000        0.23694        7.68491       17.51592
       -3.92000        0.21877        7.69395       17.60350
       -3.88000        0.22422        7.70273       17.68912
       -3.84000        0.25116        7.71218       17.78182
       -3.80000        0.29047        7.72299       17.88842
       -3.76000        0.32945        7.73541       18.01134
       -3.72000        0.35553        7.74917       18.14788
       -3.68000        0.36048        7.76357       18.29112
       -3.64000        0.34328        7.77771       18.43219
       -3.60000        0.30923        7.79080       18.56314
       -3.56000        0.26587        7.80232       18.67870
       -3.52000        0.21963        7.81204       18.77640
       -3.48000        0.17542        7.81992       18.85600
       -3.44000        0.13789        7.82616       18.91917
       -3.40000        0.11204        7.83111       18.96956
       -3.36000        0.10245        7.83534       19.01289
       -3.32000        0.11146        7.83956       19.05642
       -3.28000        0.13720        7.84448       19.10763
       -3.24000        0.17266        7.85066       19.17216
       -3.20000        0.20727        7.85828       19.25193
       -3.16000        0.23106        7.86710       19.34441
       -3.12000        0.23877        7.87655       19.44378
       -3.08000        0.23073        7.88599       19.54323
       -3.04000        0.21064        7.89485       19.63684
       -3.00000        0.18287        7.90274       19.72040
       -2.96000        0.15186        7.90943       19.79154
       -2.92000        0.12286        7.91491       19.84991
       -2.88000        0.10189        7.91937       19.89762
       -2.84000        0.09353        7.92323       19.93921
       -2.80000        0.09777        7.92702       19.98028
       -2.76000        0.10928        7.93115       20.02526
       -2.72000        0.12090        7.93577       20.07567
       -2.68000        0.12888        7.94077       20.13056
       -2.64000        0.13463        7.94605       20.18853
       -2.60000        0.14103        7.95155       20.24933
       -2.56000        0.14715        7.95733       20.31326
       -2.52000        0.14743        7.96325       20.37903
       -2.48000        0.13626        7.96897       20.44264
       -2.44000        0.11364        7.97399       20.49867
       -2.40000        0.08598        7.97799       20.54325
       -2.36000        0.06202        7.98092       20.57609
       -2.32000        0.04785        7.98308       20.60038
       -2.28000        0.04478        7.98490       20.62098
       -2.24000        0.04977        7.98677       20.64235
       -2.20000        0.05699        7.98891       20.66685
       -2.16000        0.06030        7.99128       20.69402
       -2.12000        0.05625        7.99364       20.72110
       -2.08000        0.04582        7.99569       20.74475
       -2.04000        0.03298        7.99727       20.76289
       -2.00000        0.02164        7.99835       20.77538
       -1.96000        0.01348        7.99904       20.78337
       -1.92000        0.00819        7.99947       20.78830
       -1.88000        0.00481        7.99972       20.79126
       -1.84000        0.00262        7.99987       20.79295
       -1.80000        0.00128        7.99995       20.79384
       -1.76000        0.00054        7.99998       20.79424
       -1.72000        0.00019        7.99999       20.79440
       -1.68000        0.00006        8.00000       20.79445
       -1.64000        0.00002        8.00000       20.79447
       -1.60000        0.00000        8.00000       20.79447
       -1.56000        0.00000        8.00000       20.79447
       -1.52000        0.00000        8.00000       20.79447
       -1.48000        0.00000        8.00000       20.79447
       -1.44000        0.00000        8.00000       20.79447
       -1.40000        0.00000        8.00000       20.79447
       -1.36000        0.00000        8.00000       20.79447
       -1.32000        0.00000        8.00000       20.79447
       -1.28000        0.00000        8.00000       20.79447
       -1.24000        0.00000        8.00000       20.79447
       -1.20000        0.00000        8.00000       20.79447
       -1.16000        0.00000        8.00000       20.79447
       -1.12000        0.00000        8.00000       20.79447
       -1.08000        0.00000        8.00000       20.79447
       -1.04000        0.00000        8.00000       20.79447
       -1.00000        0.00000        8.00000       20.79447
       -0.96000        0.00000        8.00000       20.79447
       -0.92000        0.00000        8.00000       20.79447
       -0.88000        0.00000        8.00000       20.79447
       -0.84000        0.00000        8.00000       20.79447
       -0.80000        0.00000        8.00000       20.79447
       -0.76000        0.00000        8.00000       20.79447
       -0.72000        0.00000        8.00000       20.79447
       -0.68000        0.00000        8.00000       20.79447
       -0.64000        0.00000        8.00000       20.79447
       -0.60000        0.00000        8.00000       20.79447
       -0.56000        0.00000        8.00000       20.79447
       -0.52000        0.00000        8.00000       20.79447
       -0.48000        0.00000        8.00000       20.79447
       -0.44000        0.00000        8.00000       20.79447
       -0.40000        0.00000        8.00000       20.79447
       -0.36000        0.00000        8.00000       20.79447
       -0.32000        0.00000        8.00000       20.79447
       -0.28000        0.00000        8.00000       20.79447
       -0.24000        0.00000        8.00000       20.79447
       -0.20000        0.00000        8.00000       20.79447
       -0.16000        0.00000        8.00000       20.79447
       -0.12000        0.00000        8.00000       20.79447
       -0.08000        0.00000        8.00000       20.79447
       -0.04000        0.00000        8.00000       20.79447
        0.00000        0.00000        8.00000       20.79447
        0.04000        0.00000        8.00000       20.79447
        0.08000        0.00000        8.00000       20.79447
        0.12000        0.00000        8.00000       20.79447
        0.16000        0.00000        8.00000       20.79447
        0.20000        0.00000        8.00000       20.79447
        0.24000        0.00000        8.00000       20.79447
        0.28000        0.00000        8.00000       20.79447
        0.32000        0.00000        8.00000       20.79447
        0.36000        0.00000        8.00000       20.79447
        0.40000        0.00000        8.00000       20.79447
        0.44000        0.00000        8.00000       20.79447
        0.48000        0.00000        8.00000       20.79447
        0.52000        0.00000        8.00000       20.79447
        0.56000        0.00000        8.00000       20.79447
        0.60000        0.00000        8.00000       20.79447
        0.64000        0.00000        8.00000       20.79447
        0.68000        0.00000        8.00000       20.79447
        0.72000        0.00000        8.00000       20.79447
        0.76000        0.00000        8.00000       20.79447
        0.80000        0.00000        8.00000       20.79447
        0.84000        0.00000        8.00000       20.79447
        0.88000        0.00000        8.00000       20.79447
        0.92000        0.00000        8.00000       20.79447
        0.96000        0.00000        8.00000       20.79447
        1.00000        0.00000        8.00000       20.79447
        1.04000        0.00000        8.00000       20.79447
        1.08000        0.00000        8.00000       20.79447
        1.12000        0.00000        8.00000       20.79447
        1.16000        0.00000        8.00000       20.79447
        1.20000        0.00000        8.00000       20.79447
        1.24000        0.00000        8.00000       20.79447
        1.28000        0.00000        8.00000       20.79447
        1.32000        0.00000        8.00000       20.79447
        1.36000        0.00000        8.00000       20.79447
        1.40000        0.00000        8.00000       20.79447
        1.44000        0.00000        8.00000       20.79447
        1.48000        0.00000        8.00000       20.79447
        1.52000        0.00000        8.00000       20.79447
        1.56000        0.00000        8.00000       20.79447
        1.60000        0.00000        8.00000       20.79447
        1.64000        0.00000        8.00000       20.79447
        1.68000        0.00000        8.00000       20.79447
        1.72000        0.00002        8.00000       20.79448
        1.76000        0.00008        8.00000       20.79451
        1.80000        0.00027        8.00001       20.79460
        1.84000        0.00082        8.00003       20.79492
        1.88000        0.00212        8.00008       20.79580
        1.92000        0.00466        8.00021       20.79785
        1.96000        0.00880        8.00048       20.80200
        2.00000        0.01435        8.00094       20.80923
        2.04000        0.02049        8.00163       20.82021
        2.08000        0.02609        8.00257       20.83494
        2.12000        0.03071        8.00371       20.85291
        2.16000        0.03542        8.00503       20.87377
        2.20000        0.04291        8.00658       20.89840
        2.24000        0.05620        8.00854       20.92961
        2.28000        0.07610        8.01116       20.97158
        2.32000        0.09907        8.01467       21.02767
        2.36000        0.11805        8.01904       21.09768
        2.40000        0.12706        8.02398       21.17693
        2.44000        0.12612        8.02907       21.25868
        2.48000        0.12174        8.03402       21.33842
        2.52000        0.12225        8.03887       21.41677
        2.56000        0.13240        8.04393       21.49875
        2.60000        0.15124        8.04958       21.59062
        2.64000        0.17368        8.05608       21.69650
        2.68000        0.19409        8.06345       21.81685
        2.72000        0.20974        8.07154       21.94927
        2.76000        0.22203        8.08018       22.09098
        2.80000        0.23410        8.08930       22.24089
        2.84000        0.24652        8.09892       22.39933
        2.88000        0.25504        8.10897       22.56538
        2.92000        0.25290        8.11918       22.73420
        2.96000        0.23619        8.12901       22.89709
        3.00000        0.20767        8.13791       23.04486
        3.04000        0.17630        8.14558       23.17240
        3.08000        0.15321        8.15213       23.28151
        3.12000        0.14813        8.15808       23.38116
        3.16000        0.16815        8.16431       23.48597
        3.20000        0.21728        8.17192       23.61446
        3.24000        0.29450        8.18207       23.78640
        3.28000        0.39030        8.19573       24.01825
        3.32000        0.48460        8.21328       24.31647
        3.36000        0.55053        8.23412       24.67110
        3.40000        0.56586        8.25664       25.05462
        3.44000        0.52718        8.27866       25.43004
        3.48000        0.45507        8.29836       25.76638
        3.52000        0.38313        8.31507       26.05219
